DATA,DEPOSIT,BET_PLAYED,HIGHEST_BET,TOTAL_BET,WINS,LOSSES,NET_PROFIT,Base_Bet_Amount ,Net_Profit_Is_Below 
09.06.2024,0.10295884,100,0,,,,0,,
09.06.2024,0.10323884,100,0.00064,,,,0.00028,0.000005,-0.16383
09.06.2024,0.10080384,100,0.00128,,,,-0.002435,0.000005,-0.16383
09.06.2024,0.10102384,100,0.00032,,,,0.00022,0.000005,-0.16383
09.06.2024,0.10130384,100,0.00032,,,,0.00028,0.000005,-0.16383
09.06.2024,0.10156884,100,0.00016,,,,0.000265,0.000005,-0.16383
09.06.2024,0.10183384,100,0.00008,,,,0.000265,0.000005,-0.16383
09.06.2024,0.10210884,100,0.00032,,,,0.000275,0.000005,-0.16383
09.06.2024,0.09975384,100,0.00128,,,,-0.002355,0.000005,-0.16383
09.06.2024,0.10399884,1000,0.00512,,,,0.00241,0.000005,-0.16383
09.06.2024,0.10639384,1000,0.00512,,,,0.002395,0.000005,-0.16383
09.06.2024,0.10873384,1000,0.00512,,,,0.00234,0.000005,-0.16383
09.06.2024,0.11110884,1000,0.02048,,,,0.002375,0.000005,-0.16383
09.06.2024,0.11356384,1000,0.00128,,,,0.002455,0.000005,-0.16383
09.06.2024,0.11576384,1000,0.00512,,,,0.0022,0.000005,-0.16383
09.06.2024,0.11819384,1000,0.00128,,,,0.00243,0.000005,-0.16383
09.06.2024,0.12051884,1000,0.04096,,,,0.002325,0.000005,-0.16383
09.06.2024,0.12299884,1000,0.00256,,,,0.00248,0.000005,-0.16383
09.06.2024,0.12540384,1000,0.00256,,,,0.002405,0.000005,-0.16383
09.06.2024,0.12772884,1000,0.00512,,,,0.002325,0.000005,-0.16383
09.06.2024,0.13002884,1000,0.00256,,,,0.0023,0.000005,-0.16383
09.06.2024,0.13239884,1000,0.01024,,,,0.00237,0.000005,-0.16383
09.06.2024,0.13475884,1000,0.00256,,,,0.00236,0.000005,-0.16383
09.06.2024,0.13705384,1000,0.02048,,,,0.002295,0.000005,-0.16383
09.06.2024,0.13919384,1000,0.00256,,,,0.00214,0.000005,-0.16383
09.06.2024,0.14165884,1000,0.00256,,,,0.002465,0.000005,-0.16383
09.06.2024,0.14406384,1000,0.01024,,,,0.002405,0.000005,-0.16383
09.06.2024,0.14638384,1000,0.01024,,,,0.00232,0.000005,-0.16383
09.06.2024,0.14884884,1000,0.00128,,,,0.002465,0.000005,-0.16383
09.06.2024,0.15135384,1000,0.00064,,,,0.002505,0.000005,-0.16383
09.06.2024,0.15375884,1000,0.01024,,,,0.002405,0.000005,-0.16383
09.06.2024,0.15619884,1000,0.00256,,,,0.00244,0.000005,-0.16383
09.06.2024,0.15864384,1000,0.00128,,,,0.002445,0.000005,-0.16383
09.06.2024,0.16068384,1000,0.00512,,,,0.00204,0.000005,-0.16383
09.06.2024,0.16312884,1000,0.00256,,,,0.002445,0.000005,-0.16383
09.06.2024,0.16547884,1000,0.00128,,,,0.00235,0.000005,-0.16383
09.06.2024,0.16796384,1000,0.00064,,,,0.002485,0.000005,-0.16383
09.06.2024,0.17041384,1000,0.04096,,,,0.00245,0.000005,-0.16383
09.06.2024,0.17274384,1000,0.00128,,,,0.00233,0.000005,-0.16383
09.06.2024,0.17513884,1000,0.01024,,,,0.002395,0.000005,-0.16383
09.06.2024,0.17746384,1000,0.00128,,,,0.002325,0.000005,-0.16383
09.06.2024,0.18000384,1000,0.00064,,,,0.00254,0.000005,-0.16383
09.06.2024,0.18247884,1000,0.08192,,,,0.002475,0.000005,-0.16383
09.06.2024,0.18469384,1000,0.01024,,,,0.002215,0.000005,-0.16383
09.06.2024,0.18710884,1000,0.00064,,,,0.002415,0.000005,-0.16383
09.06.2024,0.18955384,1000,0.00512,,,,0.002445,0.000005,-0.16383
09.06.2024,0.19194384,1000,0.02048,,,,0.00239,0.000005,-0.16383
09.06.2024,0.19434384,1000,0.01024,,,,0.0024,0.000005,-0.16383
09.06.2024,0.19670884,1000,0.01024,,,,0.002365,0.000005,-0.16383
09.06.2024,0.19900884,1000,0.04096,,,,0.0023,0.000005,-0.16383
09.06.2024,0.20137884,1000,0.00256,,,,0.00237,0.000005,-0.16383
09.06.2024,0.20371884,1000,0.02048,,,,0.00234,0.000005,-0.16383
09.06.2024,0.20604384,1000,0.01024,,,,0.002325,0.000005,-0.16383
09.06.2024,0.20833384,1000,0.01024,,,,0.00229,0.000005,-0.16383
09.06.2024,0.21060884,1000,0.02048,,,,0.002275,0.000005,-0.16383
09.06.2024,0.21296884,1000,0.00128,,,,0.00236,0.000005,-0.16383
09.06.2024,0.21520884,1000,0.00128,0.02297,463,537,0.00224,0.000005,-0.16383
09.06.2024,0.21758384,1000,0.00128,0.020465,490,510,0.002375,0.000005,-0.16383
09.06.2024,0.22011884,1000,0.00256,0.023575,514,486,0.002535,0.000005,-0.16383
09.06.2024,0.22265384,1000,0.00128,0.023755,510,490,0.002535,0.000005,-0.16383
09.06.2024,0.22500884,1000,0.00512,0.033545,472,528,0.002355,0.000005,-0.16383
09.06.2024,0.22732884,1000,0.00256,0.03385,467,533,0.00232,0.000005,-0.16383
10.06.2024,0.23525701,,,,,,0.00792 817,,
10.06.2024,0.23733201,1000,0.00512,0.045115,422,578,0.002075,0.000005,-0.16383
10.06.2024,0.23984701,1000,0.00128,0.023445,504,496,0.002515,0.000005,-0.16383
10.06.2024,0.24224201,1000,0.00512,0.032495,479,521,0.002395,0.000005,-0.16383
10.06.2024,0.24457701,1000,0.00512,0.036005,468,532,0.002335,0.000005,-0.16383
10.06.2024,0.24693201,1000,0.00512,0.036615,474,526,0.002355,0.000005,-0.16383
10.06.2024,0.24939701,1000,0.00512,0.034765,494,506,0.002465,0.000005,-0.16383
10.06.2024,0.25191201,1000,0.00256,0.025615,503,497,0.002515,0.000005,-0.16383
10.06.2024,0.25428201,1000,0.02048,0.06373,474,526,0.00237,0.000005,-0.16383
10.06.2024,0.25633201,1000,0.02048,0.07026,473,527,0.00205,0.000005,-0.16383
10.06.2024,0.25879201,1000,0.00128,0.02242,492,508,0.00246,0.000005,-0.16383
10.06.2024,0.26118201,1000,0.00256,0.03374,479,521,0.00239,0.000005,-0.16383
10.06.2024,0.26357701,1000,0.00256,0.032835,479,521,0.002395,0.000005,-0.16383
10.06.2024,0.26599701,1000,0.00512,0.04447,485,515,0.00242,0.000005,-0.16383
10.06.2024,0.26845201,1000,0.00128,0.026225,498,502,0.002455,0.000005,-0.16383
10.06.2024,0.27079701,1000,0.02048,0.069745,472,528,0.002345,0.000005,-0.16383
10.06.2024,0.27312701,1000,0.00128,0.02713,466,534,0.00233,0.000005,-0.16383
10.06.2024,0.27548701,1000,0.00256,0.03203,472,528,0.00236,0.000005,-0.16383
10.06.2024,0.27779201,1000,0.00256,0.028605,461,539,0.002305,0.000005,-0.16383
10.06.2024,0.28010201,1000,0.01024,0.06228,462,538,0.00231,0.000005,-0.16383
10.06.2024,0.28243701,1000,0.08192,0.221265,467,533,0.002335,0.000005,-0.16383
10.06.2024,0.28544901,1000,0.001536,0.0273,503,497,0.003012,0.000006,-0.196607
10.06.2024,0.28818501,1000,0.001536,0.029364,463,537,0.002736,0.000006,-0.196607
10.06.2024,0.29111901,1000,0.003072,0.02835,489,511,0.002934,0.000006,-0.196607
10.06.2024,0.29392101,1000,0.012288,0.058386,470,530,0.002802,0.000006,-0.196607
10.06.2024,0.29580616,,,,,,0.001885,,
10.06.2024,0.29874016,1000,0.000768,0.024282,489,511,0.002934,0.000006,-0.196607
10.06.2024,0.30164416,1000,0.003072,0.02892,484,516,0.002904,0.000006,-0.196607
10.06.2024,0.30447016,1000,0.012288,0.053538,472,528,0.002826,0.000006,-0.196607
10.06.2024,0.30736216,1000,0.003072,0.040476,489,511,0.002892,0.000006,-0.196607
10.06.2024,0.31018216,1000,0.012288,0.077736,471,529,0.00282,0.000006,-0.196607
10.06.2024,0.31311016,1000,0.000768,0.024288,488,512,0.002928,0.000006,-0.196607
10.06.2024,0.31591816,1000,0.001536,0.027732,471,529,0.002808,0.000006,-0.196607
10.06.2024,0.31863016,1000,0.001536,0.027948,483,517,0.002712,0.000006,-0.196607
10.06.2024,0.32146816,1000,0.006144,0.043698,473,527,0.002838,0.000006,-0.196607
10.06.2024,0.32451016,1000,0.001536,0.027906,507,493,0.003042,0.000006,-0.196607
10.06.2024,0.32739616,1000,0.001536,0.030882,482,512,0.002886,0.000006,-0.196607
10.06.2024,0.33034816,1000,0.001536,0.03396,493,507,0.002952,0.000006,-0.196607
10.06.2024,0.33339016,1000,0.001536,0.026886,507,493,0.003042,0.000006,-0.196607
10.06.2024,0.33457766,,,,,,0.001188,,
10.06.2024,0.33744566,1000,0.049152,0.128868,478,522,0.002868,0.000006,-0.196607
10.06.2024,0.34033766,1000,0.012288,0.063972,482,518,0.002892,0.000006,-0.196607
10.06.2024,0.34324766,1000,0.003072,0.034206,485,515,0.00291,0.000006,-0.196607
10.06.2024,0.14713766,174,0.098304,0.202362,82,92,-0.19611,0.000006,-0.196607
10.06.2024,0.14955766,1000,0.01024,0.05372,484,516,0.00242,0.000005,-0.16383
10.06.2024,0.15199766,1000,0.02048,0.06298,491,509,0.00244,0.000005,-0.16383
10.06.2024,0.15437266,1000,0.00256,0.032015,475,525,0.002375,0.000005,-0.16383
10.06.2024,0.15670266,1000,0.00512,0.0385,466,534,0.00233,0.000005,-0.16383
10.06.2024,0.15915766,1000,0.00512,0.034185,491,509,0.002455,0.000005,-0.16383
10.06.2024,0.16143266,1000,0.00256,0.034065,455,545,0.002275,0.000005,-0.16383
